,Unnamed: 0,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
0,117,А,анды,"N, anim, hum",кормилец,8,FALSE,TRUE
1,218,А,аноконди,N,"то же, что аноконь кельги",10,FALSE,TRUE
2,246,А,атямаци,"N, anim",гусак,1,FALSE,TRUE
3,275,А,Афины,"N, PN, topn",Афины,5,TRUE,TRUE
4,294,А,ащи,"V, intr",ладно,703,FALSE,FALSE
5,365,А,арьси,"N, anim, hum",рассудительный; создатель,1,FALSE,TRUE
6,396,А,асу,N,"польза, выгода",300,FALSE,TRUE
7,564,А,авамаци,"N, anim",гусыня,2,FALSE,TRUE
8,643,А,аварькшни,"N, anim, hum",плакальщица,1,FALSE,TRUE
9,928,Ё,ётафни,"N, anim, hum",перевозчик,2,FALSE,TRUE
10,1055,Б,бору,"N, anim",боров,1,FALSE,TRUE
11,1086,Б,Баку,"N, PN, topn",Баку,4,TRUE,FALSE
12,1269,Б,безярди,"V, intr",брезговать,1,FALSE,TRUE
13,1500,В,виияфты,"V, intr",усилиться,6,FALSE,TRUE
14,1508,В,вики,N,вики,1,TRUE,TRUE
15,1643,В,видексши,"N, anim, hum",праведность,190,FALSE,FALSE
16,1655,В,визди,"V, tr",стыдиться,22,FALSE,TRUE
17,1775,В,вяти,"V, tr",вожак,202,FALSE,TRUE
18,1889,В,ворьфти,"V, tr","увести, унести",1,FALSE,TRUE
19,1942,В,ванни,"V, tr",няня,2,FALSE,TRUE
20,1951,В,ванфты,"V, tr",хранитель; надсмотрщик; защитник,42,FALSE,TRUE
21,1953,В,ваны,"V, tr",смотреть,167,FALSE,TRUE
22,1994,В,вандолды,"V, intr","яркий, блестящий",9,FALSE,TRUE
23,2049,В,варси,"N, anim",ворона,11,FALSE,TRUE
24,2080,В,вазу,"N, anim",тёлка,6,FALSE,TRUE
25,2105,В,ваймоси,"N, anim, hum",отдыхающий,32,FALSE,TRUE
26,2309,В,вержи,N,среда,16,FALSE,TRUE
27,2334,В,васьфти,"V, tr",встречающий,48,FALSE,TRUE
28,2384,В,васькафни,"V, tr",надеяться | обмануть | обманщик,15,FALSE,TRUE
29,2387,В,васькафты,"V, tr",надеяться | обмануть | обманчивый,2,FALSE,TRUE
30,2494,Г,гран-при,N,гран-при,33,TRUE,FALSE
31,2590,Г,гулю,"N, anim",голубь; тихоня,4,FALSE,TRUE
32,2651,Г,гарзи,N,скрипка,4,FALSE,TRUE
33,2978,Д,духи,N,духи,1,TRUE,FALSE
34,3057,Д,Дружбы,"N, PN",Дружбы,10,TRUE,TRUE
35,3419,Ж,жюри,N,жюри,139,TRUE,FALSE
36,3501,Ж,жигули,"N, transport",жигули,6,TRUE,FALSE
37,3511,З,зияну,N,преступный,4,FALSE,TRUE
38,3655,З,задачи,N,задача,2,TRUE,FALSE
39,3833,И,интервью,N,интервью,83,TRUE,FALSE
40,3907,И,иретьфти,"V, intr",хмельной; угарный,1,FALSE,TRUE
41,3943,И,изгорды,"N, anim, hum",ворчун,2,FALSE,TRUE
42,4040,И,иди,"N, anim, hum",защитник,8,FALSE,TRUE
43,4084,И,инези,N,малина,2,FALSE,TRUE
44,4107,И,инжи,"N, anim, hum",гость,1260,FALSE,TRUE
45,4324,К,кочколды,"N, anim",перепел,1,FALSE,TRUE
46,4411,К,котькоди,"V, intr",чувствительный к щекотке,2,FALSE,TRUE
47,4438,К,коми,N,коми,154,TRUE,TRUE
48,4648,К,кондясти,"V, intr","подходящий, годный, пригодный",48,FALSE,TRUE
49,4705,К,куцю,N,ложка,221,FALSE,TRUE
50,4748,К,кулхцонды,N,прич. от кулхцондомс,136,FALSE,TRUE
51,4754,К,кулу,N,зола,74,FALSE,TRUE
52,4758,К,кулофты,"V, intr",смертельный | умереть | умертвить,3,FALSE,TRUE
53,4792,К,кучи,"V, tr","послать, проводить",39,FALSE,TRUE
54,4795,К,кяльготни,"N, anim, hum",обманщик,2,FALSE,TRUE
55,4899,К,кштирди,"V, tr",ткачиха,2,FALSE,TRUE
