,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
0,Ё,ёфси,ADV,тем более; совершенно,1,False,False
1,Ё,ёфксонь,N,сказочный,1,False,False
2,Ё,ёмла,A,маленький,4,False,False
3,Ё,ён,A,досуг | к | ум | хороший,1,False,False
4,Ё,ёткс,POST,досуг | к | ум | хороший,1,False,False
5,Ё,ёндол,N,молния,4,False,False
6,Ё,ёнь,N,ум,3,False,False
7,Ё,ёню,A,"умный, мудрый, разумный",4,False,False
8,Ё,ёр,"N, anim","перепел, перепёлка",2,False,False
9,Ё,ётка,N,досуг | к | ум | хороший,1,False,False
10,Ё,ёрамс,"V, tr",хотеть,10,False,False
11,Ё,ёрдамс,"V, tr",сбросить,2,False,False
12,Ё,ётамс,"V, intr",пройти,19,False,False
15,Ё,ёткши,N,суббота,1,False,False
16,Ё,ёфкс,N,сказка; разговор,12,False,False
17,Ё,ёфкс,A,сказка; разговор,1,False,False
19,А,Артём,"N, PN, persn",Артём,2,True,False
20,А,ару,A,"чистый, прозрачный",5,False,False
21,А,архт,"V, intr","иди, ступай",2,False,False
22,А,архтомс,"V, tr",покрасить; кастрировать,2,False,False
24,А,аряда,"V, intr","идёмте, пойдёмте",1,False,False
25,А,арьсемс,"N, anim, hum",думать,1,False,False
26,А,арьси,"V, tr",рассудительный; создатель,1,False,True
27,А,ассоциация,N,ассоциация,1,True,False
28,А,артистка,"N, anim, hum",артистка,1,True,False
29,А,арьсемс,"V, tr",думать,32,False,False
30,А,арнемс,"V, intr",ездить,1,False,False
31,А,Ардатова,"N, PN, topn",Ардатов,1,False,False
32,А,арнемат,N,ездить,1,False,False
33,А,армия,N,армия,1,True,False
34,А,арзяня,"N, dim",сундучок,1,False,False
35,А,аре,"V, intr",пойдём,2,False,False
36,А,ардомс,"V, intr",бежать; ехать,9,False,False
38,А,ардозь,ADV,бежать; ехать,1,False,False
39,А,Асташин,"N, PN, famn",Асташин,1,True,False
40,А,арамс,"V, tr",стать,8,False,False
41,А,арам,PART,"по-моему, -твоему и т. д.",2,False,False
42,А,араламс,"V, tr",защитить,1,False,False
44,А,аськолкс,N,шаг,1,False,False
45,А,атям,N,гром,3,False,False
46,А,Атерь,"N, PN, topn",Атюрьево,5,False,False
47,А,аяш,PREDIC,нет,1,False,False
48,А,аяф,PART,не,2,False,False
49,А,ащи,"V, intr",ладно,5,False,True
50,А,ащемс,ADV,"быть, находиться; сидеть",5,False,False
51,А,ащемс,"V, intr","быть, находиться; сидеть",12,False,False
52,А,ашуши,N,"бедность, скудность",1,False,False
53,А,ашу,A,бедный,1,False,False
54,А,ашкордамс,"V, tr",обернуть,1,False,False
55,А,ашкодомс,"V, tr",завернуть,1,False,False
56,А,аш,V,"не, нет",30,False,False
57,А,ацамс,"V, tr",стелить,3,False,False
58,А,аськолямс,"V, intr",шагать; прошить,1,False,False
59,А,афкуксонь,A,"действительный, настоящий",2,False,False
60,А,афи,PART,"и не, даже не",9,False,False
61,А,аф,V,не,271,False,False
62,А,атёкш,"N, anim",петух,2,False,False
63,А,атят-бабат,"N, anim, hum",старик со старухой,1,False,False
65,А,атякш,"N, anim",петух,3,False,False
66,А,атя,"N, anim, hum",старик,6,False,False
67,А,Атюрьевскяй,"A, topn",Атюрьевский,1,False,False
68,А,атмосфера,N,атмосфера,1,True,False
69,А,Атласова,"N, PN, famn",Атласова,1,True,False
70,А,атказамс,"V, intr",отказать,1,False,False
71,А,афкукс,ADV,"в самом деле, действительно",9,False,False
72,А,арай,PREDIC,"придётся, надо",1,False,False
73,А,Абхазия,"N, PN, topn",Абхазия,1,True,False
74,А,аптека,N,аптека,1,True,False
75,А,аергодомс,"V, intr",опостылеть,1,False,False
76,А,азбука,N,азбука,1,True,False
77,А,аздомс,"V, intr",бездельничать,1,False,False
78,А,азомс,"V, tr",сказать,1,False,False
79,А,азкс,N,рассказ,2,False,False
81,А,адрес,N,адрес,1,True,False
82,А,азор,"N, anim, hum",хозяин,4,False,False
83,А,айда,PART,"идёмте, пойдёмте",1,False,False
84,А,аймак,N,аймак,6,True,False
85,А,Аксёнова,"N, PN, famn",Аксёнова,1,True,False
86,А,акша,A,белый,4,False,False
87,А,акшеня,"A, dim",беленький,1,False,False
88,А,ал,N,яйцо,9,False,False
89,А,азорава,"N, anim, hum",хозяйка,1,False,False
90,А,ава,"N, anim, hum",женщина,15,False,False
91,А,ава,A,женский,4,False,False
92,А,авань,"N, anim, hum",женщина,4,False,False
93,А,Аравия,"N, PN, topn",Аравия,1,True,False
94,А,Аделяково,"N, PN, topn",Аделяково,1,True,False
95,А,аделамс,"V, tr",завершить,3,False,False
96,А,ад,N,ад,1,True,False
97,А,Агеева,"N, PN, famn",Агеева,1,True,False
98,А,ага,PART,ага,1,True,False
99,А,автор,"N, anim, hum",автор,5,True,False
100,А,автомат,N,автомат,1,True,False
101,А,автобус,"N, transport",автобус,1,True,False
102,А,авгур,"N, anim, hum",авгур,3,True,False
103,А,авардемс,"V, intr",плакать,1,False,False
104,А,Авардень,"N, PN, famn",Авардень,1,True,False
106,А,аваня,"N, dim, anim, hum",женщина,2,False,False
107,А,авань,A,женский,1,False,False
108,А,алаламс,"V, intr",христосоваться,1,False,False
109,А,алаша,"N, anim",лошадь,1,False,False
110,А,админ,"N, anim, hum",админ,2,True,False
111,А,Александрович,"N, PN, patrn",Александрович,1,True,False
112,А,апак,PART,не (с прилагательными и наречиями),4,False,False
113,А,Анюта,"N, PN, persn",Анюта,2,True,False
114,А,аньцек,ADV,только; только что,28,False,False
115,А,анцяйняньбес,ADV,до мелочей,1,False,False
116,А,анцемс,"V, intr",просить милостыню,2,False,False
117,А,Ануфриева,"N, PN, famn",Ануфриева,2,True,False
118,А,ансамбль,N,ансамбль,2,True,False
119,А,апрель,"N, time_meas",апрель,1,True,False
120,А,анокламс,"V, tr","готовить, готовиться",7,False,False
121,А,аноклай,"N, anim, hum","готовить, готовиться",1,False,False
122,А,аноконди,N,"то же, что аноконь кельги",1,False,True
123,А,анока,ADV,"раньше времени, заранее",1,False,False
124,А,анок,A,"готовый, завершённый",1,False,False
126,А,Анна,"N, PN, persn",Анна,4,True,False
127,А,Александр,"N, PN, persn",Александр,3,True,False
129,А,апрякамс,"V, tr",упрекать; ревновать,2,False,False
130,А,Аня,"N, PN, persn",Аня,1,True,False
131,А,алянь,"N, anim, hum",мужчина; отец,1,False,False
132,А,Аникина,"N, PN, famn",Аникина,1,True,False
133,А,Андрей,"N, PN, persn",Андрей,2,True,False
134,А,анды,"V, tr",кормить,1,False,True
135,А,андомс,"N, anim, hum",кормилец,1,False,False
136,А,английскяй,A,английский,1,False,False
137,А,англа,"N, anim, hum",англичанин,1,False,False
138,А,Анастасия,"N, PN, persn",Анастасия,1,True,False
139,А,андомс,"V, tr",кормить,3,False,False
140,А,Алямкина,"N, PN, famn",Алямкина,1,True,False
141,А,аля,A,мужской; отеческий,1,False,False
142,А,аля,"N, anim, hum",мужчина; отец,12,False,False
143,А,Алина,"N, PN, persn",Алина,1,True,False
144,А,али,PART,"разве, или",6,False,False
145,А,Алексей,"N, PN, persn",Алексей,2,True,False
146,А,анамс,"V, tr",просить,2,False,False
147,Б,бабаня,"N, dim, anim, hum",повитуха; знахарка | старушка,2,False,False
148,Б,Брянск,"N, PN, topn",Брянск,1,True,False
149,Б,бабамс,"V, intr",дет. ложиться спать,2,False,False
150,Б,бабань,A,старушечий; женский,1,False,False
151,Б,буква,N,буква,1,True,False
152,Б,бук,N,бук,1,True,False
153,Б,бта,CONJ,"как, будто",3,False,False
154,Б,бславамс,"V, tr",благословить,1,False,False
155,Б,брат,"N, anim, hum",брат,1,True,False
156,Б,базар,N,базар,2,True,False
157,Б,Бочканов,"N, PN, famn",Бочканов,3,True,False
158,Б,боярава,"N, anim, hum",барыня; нарядно одетая женщина,2,False,False
159,Б,балбес,"N, anim, hum",балбес,1,True,False
160,Б,бандит,"N, anim, hum",бандит,2,True,False
161,Б,барышня,"N, anim, hum",барышня,1,True,False
162,Б,басня,N,басня,3,True,False
163,Б,бахила,N,бахила,2,True,False
164,Б,башка,A,"отдельный, особенный",3,False,False
165,Б,башкир,"N, anim, hum",башкир,1,True,False
166,Б,бди,CONJ,если,1,False,False
167,Б,белок,N,белок,1,True,False
168,Б,Березенцева,"N, PN, famn",Березенцева,1,True,False
169,Б,баня,N,баня,8,True,False
170,Б,библиотека,N,библиотека,8,True,False
171,Б,Березник,"N, PN, topn",Березник,1,True,False
172,Б,больниця,N,больница,2,False,False
173,Б,боец,"N, anim, hum",боец,1,True,False
174,Б,блюда,N,блюдо,1,False,False
175,Б,боза,N,брага,2,False,False
176,Б,благодать,N,благодать,1,True,False
177,Б,биология,N,биология,1,True,False
178,Б,билет,N,билет,3,True,False
179,Б,бльнямс,"V, intr",булькать,1,False,False
180,Б,ботинка,N,ботинок,1,False,False
181,В,вете,NUM,пять,1,False,False
182,В,вете,"NUM, ord",пять,1,False,False
183,В,виде,A,"при, у, около",1,False,False
184,В,вешемс,"V, tr",найти,5,False,False
185,В,вешфкс,N,"поиск, запрос",1,False,False
186,В,вид,A,"вид, разновидность, тип | действительно, в самом деле | действительный, настоящий | прямой, ровный; стройный; правильный",1,False,False
187,В,виде,N,"вид, разновидность, тип | действительно, в самом деле | действительный, настоящий | прямой, ровный; стройный; правильный",1,False,False
188,В,видекс,PARENTH,"вид, разновидность, тип | действительно, в самом деле | действительный, настоящий | прямой, ровный; стройный; правильный",1,False,False
189,В,видемс,"V, tr",сеять,1,False,False
190,В,видеса,"V, tr",сеять,1,False,False
192,В,видеста,ADV,"прямой, ровный; стройный; правильный",1,False,False
193,В,виденя,"A, dim","ровненький, стройненький",1,False,False
194,В,видео,N,видео,1,True,False
195,В,видеши,N,"правда, истина",1,False,False
196,В,весяла,A,весёлый; ясный,1,False,False
197,В,видьме,N,семя,1,False,False
198,В,видемс,POST,"прямой, ровный; стройный; правильный",1,False,False
199,В,верондамс,"V, tr","верить, надеяться",1,False,False
200,В,вельде,POST,"посредством, путём",4,False,False
201,В,вера,N,вера,3,True,False
202,В,виздемс,"V, tr",стыдиться,7,False,False
203,В,ведь,N,вода,5,False,False
204,В,ведява,"N, supernat","русалка, хранительница воды",1,False,False
205,В,Вежай,"N, PN, persn",Вежай,7,True,False
206,В,везде,ADV,везде,3,True,False
207,В,веле,N,"село, селение",64,False,False
208,В,веленя,"N, dim",деревенька,2,False,False
209,В,велеряй,"N, anim, hum","селянин, житель села",1,False,False
210,В,вельф,ADV,"верхом, через верх; очень, слишком",1,False,False
211,В,вельхкс,N,крыша,1,False,False
212,В,вельхтямс,"V, tr",накрыть,2,False,False
213,В,велямс,"V, intr",свалить | свалиться,2,False,False
214,В,венгер,"N, anim, hum",венгр,1,False,False
215,В,венгра,"N, anim, hum",венгр,1,False,False
216,В,Венгрия,"N, PN, topn",Венгрия,1,True,False
217,В,венептемс,"V, tr","протянуть, поднести",1,False,False
218,В,веньберьф,ADV,всю ночь,3,False,False
219,В,вержи,N,среда,1,False,True
220,В,виздемс,A,"застенчивый, робкий, стеснительный",1,False,False
221,В,выставка,N,выставка,9,True,False
222,В,вии,A,"крепкий, сильный",1,False,False
223,В,Волга,"N, PN, topn",Волга,1,True,False
224,В,вол,"N, anim",вол,1,True,False
225,В,Володь,"N, PN, persn",Володь,3,True,False
226,В,Володя,"N, PN, persn",Володя,1,True,False
227,В,волонтёр,"N, anim, hum",волонтёр,1,True,False
228,В,воля,N,"свобода, воля",2,False,False
229,В,Воронина,"N, PN, famn",Воронина,1,True,False
230,В,воскресенье,"N, time_meas",воскресенье,1,True,False
231,В,врема,N,время,1,False,False
232,В,всякай,PRO,"всякий, любой, каждый, случайный",3,False,False
234,В,вярде,ADV,сверху,3,False,False
235,В,вяре,ADV,"вверху, наверху",2,False,False
236,В,вяри,ADV,"высоко, наверх",2,False,False
237,В,вярь,N,высота,2,False,False
238,В,вятемс,"V, tr",вести,2,False,False
239,В,Вячеслав,"N, PN, persn",Вячеслав,1,True,False
242,В,война,N,война,1,True,False
243,В,вот,PART,вот,1,True,False
244,В,вий,N,отнести,3,False,False
245,В,вимс,"V, tr","сила, могущество",3,False,False
246,В,викшнемс,"V, intr",вышивать,1,False,False
249,В,вина,N,вино,4,False,False
250,В,вирень,A,лес,1,False,False
251,В,вирь,N,лесной,1,False,False
252,В,визди,"V, tr",стыдиться,1,False,True
254,В,Виряз,"N, PN, persn",Виряз,1,True,False
255,В,Виссарионович,"N, PN, patrn",Виссарионович,1,True,False
256,В,вконтакте,N,вконтакте,1,True,False
257,В,Владивосток,"N, PN, topn",Владивосток,2,True,False
258,В,Владимир,"N, PN, persn",Владимир,2,True,False
259,В,Владимирович,"N, PN, patrn",Владимирович,1,True,False
260,В,вов,PART,вот,8,False,False
261,В,водь,N,водь,1,True,False
262,В,Вирява,"N, PN, persn",Вирява,2,True,False
263,В,ведень,A,вода,1,False,False
264,В,Ватка,"N, PN, topn",Вятка,1,False,False
265,В,веть,N,ночью,1,False,False
266,В,ваксста,POST,пядь,1,False,False
267,В,вакскя,"N, dim",пядь,1,False,False
268,В,вал,N,слово,32,False,False
270,В,валомс,"V, tr",слово,6,False,False
271,В,вал,A,лексический,1,False,False
272,В,валомс,N,облить,1,False,False
273,В,валонь,"V, tr",слово,1,False,False
275,В,валхтомс,"V, tr",снять,3,False,False
276,В,вакс,N,от,1,False,False
277,В,валгомс,"V, intr",спуститься; приземлиться,3,False,False
278,В,валдоптомс,"V, tr",осветить,2,False,False
279,В,Валентина,"N, PN, persn",Валентина,1,True,False
280,В,Валерия,"N, PN, persn",Валерия,1,True,False
281,В,вали,"PART, intr","давай, валяй",1,False,False
282,В,валкс,N,словарь,7,False,False
283,В,валмуворкс,N,"пословица, поговорка",30,False,False
284,В,валня,"N, dim",словцо,1,False,False
285,В,валом,ADV,"тихо, медленно, постепенно",4,False,False
286,В,валомне,"ADV, dim",тихонько,11,False,False
288,В,ведарка,N,ведро,1,False,False
290,В,ваксса,POST,пядь,1,False,False
291,В,ваксс,POST,пядь,1,False,False
292,В,ва,PART,вот,7,False,False
293,В,вага,N,вага,1,True,False
294,В,ваз,N,тёлка,1,False,False
295,В,вазь,"N, anim",шапка,1,False,False
296,В,ваз,A,"первый; новый, свежий",1,False,False
297,В,васень,"N, anim",тёлка,1,False,False
299,В,васта,"N, anim",место,1,False,False
300,В,вастомс,"V, intr",тёлка,1,False,False
301,В,вазь,N,шапка,3,False,False
303,В,ваи,A,масленый,1,False,False
304,В,вай,N,масло,1,False,False
305,В,вайвелез,N,"сливки, сметана",3,False,False
306,В,вайгяль,N,голос,4,False,False
307,В,ваймамс,"V, intr",отдохнуть,20,False,False
309,В,вайме,N,душа,21,False,False
310,В,ваймоня,"N, dim",душенька,1,False,False
311,В,ваймоси,"N, anim, hum",отдыхающий,1,False,True
315,В,вальмя,N,окно,8,False,False
316,В,валда,N,свет,1,False,False
317,В,ваномс,"V, tr",смотреть,2,False,False
318,В,васта,A,"встретиться, столкнуться",1,False,False
319,В,вастомс,N,место,1,False,False
320,В,вастонь,"V, intr",постельный,1,False,False
321,В,ве,ADV,ночь,1,False,False
322,В,вень,N,ночь,1,False,False
323,В,ве,A,ночной,1,False,False
324,В,ве,N,ночь,6,False,False
325,В,вдь,PART,ведь,13,False,False
326,В,ваямс,"V, intr",тонуть,2,False,False
327,В,вачемс,"V, tr",проголодаться,1,False,False
329,В,вана,PART,вот,2,False,False
330,В,ватракш,"N, anim","лягушка, жаба",1,False,False
331,В,ваткамс,"V, tr",очистить,1,False,False
332,В,Вася,"N, PN, persn",Вася,1,True,False
333,В,васьфтемс,"V, tr",встретить,3,False,False
334,В,васьфнемс,"V, tr",наблюдаться,1,False,False
335,В,васьфневомс,"V, intr",встречать,1,False,False
336,В,васькамс,"V, tr",надеяться | обмануть,1,False,False
338,В,вастс,POST,место,2,False,False
339,В,васта,N,"вместо, взамен",2,False,False
340,В,вача,A,голодный,1,False,False
343,В,варьхмодемс,"V, impers",светать,1,False,False
344,В,ваномс,N,"взгляд, взор",1,False,False
345,В,ванф,"V, tr",смотреть,1,False,False
347,В,ваны,"V, tr",смотреть,1,False,True
348,В,Ванька,"N, PN, persn",Ванька,2,True,False
349,В,варжакстомс,"V, intr",взглянуть; оглянуться,2,False,False
