,Unnamed: 0,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
0,26,А,арьси,"V, tr",рассудительный; создатель,1,FALSE,TRUE
1,49,А,ащи,"V, intr",ладно,5,FALSE,FALSE
2,122,А,аноконди,N,"то же, что аноконь кельги",1,FALSE,TRUE
3,134,А,анды,"V, tr",кормить,1,FALSE,TRUE
4,219,В,вержи,N,среда,1,FALSE,TRUE
5,252,В,визди,"V, tr",стыдиться,1,FALSE,TRUE
6,311,В,ваймоси,"N, anim, hum",отдыхающий,1,FALSE,TRUE
7,347,В,ваны,"V, tr",смотреть,1,FALSE,TRUE
8,441,З,зомби,"N, supernat",зомби,1,TRUE,TRUE
9,490,И,инези,N,малина,1,FALSE,TRUE
10,493,И,инжи,"N, anim, hum",гость,5,FALSE,TRUE
11,568,К,кондясти,"V, intr","подходящий, годный, пригодный",1,FALSE,TRUE
12,591,К,кучи,"V, tr","послать, проводить",1,FALSE,TRUE
13,596,К,кштифти,"V, intr",плясать,1,FALSE,TRUE
14,605,К,куцю,N,ложка,2,FALSE,TRUE
15,613,К,кштирди,"V, tr",ткачиха,1,FALSE,TRUE
16,629,К,куду,N,домой,5,FALSE,TRUE
17,650,К,кулхцонды,N,прич. от кулхцондомс,12,FALSE,TRUE
18,652,К,кулу,N,зола,1,FALSE,TRUE
19,671,К,кару,"N, anim",муха,1,FALSE,TRUE
20,729,К,канды,"V, tr",позёмка,4,FALSE,TRUE
21,751,К,кири,"V, intr",сократиться,1,FALSE,TRUE
22,839,Л,луви,"N, anim, hum",читатель,3,FALSE,TRUE
23,878,Л,ласьки,"N, anim, hum","бегун, бегущий",1,FALSE,TRUE
24,887,Л,лафту,"N, body",плечо,1,FALSE,TRUE
25,909,Л,локсти,"N, anim",лебедь,4,FALSE,TRUE
26,926,Л,лезды,"V, intr",помощник,2,FALSE,TRUE
27,955,М,мишенди,"N, anim, hum","торговец, продавец",5,FALSE,TRUE
28,1014,М,Моску,"N, PN, topn",Москва,18,FALSE,TRUE
29,1021,М,малады,"V, intr",приблизиться,1,FALSE,TRUE
30,1032,М,марлю,N,яблоня,1,FALSE,TRUE
31,1114,М,машты,"V, tr","кончиться | умелый, талантливый | уметь, мочь",2,FALSE,TRUE
32,1201,О,очижи,N,Пасха,6,FALSE,TRUE
33,1228,О,опапты,"V, tr",удушливый,1,FALSE,TRUE
34,1338,П,путы,"V, tr","тот, кто расставляет, кладёт, сажает",1,FALSE,TRUE
35,1393,П,пели,"V, intr",бояться,1,FALSE,TRUE
36,1419,П,павазу,N,счастье,1,FALSE,TRUE
37,1455,П,пильгоки,N,след,1,FALSE,TRUE
38,1467,П,пиндолды,"V, intr",налобное украшение из стекляруса,1,FALSE,TRUE
39,1516,П,пиди,"V, tr","жгучий, палящий",1,FALSE,TRUE
40,1570,Р,рахси,"N, anim, hum",насмешник,1,FALSE,TRUE
41,1607,С,Суоми,"N, PN, topn",Суоми,2,TRUE,TRUE
42,1675,С,сёрмады,"V, tr",писать,1,FALSE,TRUE
43,1713,С,саты,"V, tr",догнать,2,FALSE,TRUE
44,1743,С,седи,N,доска | мост | сердце | уголь,2,FALSE,TRUE
45,1754,С,салу,N,солёный,1,FALSE,TRUE
46,1824,С,сери,"V, tr",кричать,1,FALSE,TRUE
47,1853,С,сими,"N, anim, hum",пить,1,FALSE,TRUE
48,1907,Т,тяшти,"V, tr",писать,2,FALSE,TRUE
49,1955,Т,тии,"V, tr",создатель,1,FALSE,TRUE
50,1990,Т,тонафни,"V, intr",выучить; привыкнуть | ученик | учить,1,FALSE,TRUE
51,1992,Т,тонафты,"V, intr",выучить; привыкнуть | учитель | учить,1,FALSE,TRUE
52,2009,Т,Тольятти,"N, PN, topn",Тольятти,1,TRUE,TRUE
53,2016,Т,тоду,N,подушка,1,FALSE,TRUE
54,2046,У,ушеды,"V, tr",начать; наступить,2,FALSE,TRUE
55,2060,У,уды,"V, tr",спящий,1,FALSE,TRUE
56,2080,У,ули,"V, intr","достаток, богатство",23,FALSE,TRUE
57,2134,Ц,цильди,N,кочка,1,FALSE,TRUE
58,2137,Ц,церьку,N,церковь,1,FALSE,TRUE
59,2156,Ч,Чебоксары,"N, PN, topn",Чебоксары,1,TRUE,TRUE
60,2181,Ш,шову,N,пенистый; мыльный,1,FALSE,TRUE
61,2214,Ш,шуди,"V, intr",сочиться,2,FALSE,TRUE
62,2224,Ш,шары,"V, intr","кружиться, повернуться, перевернуться",1,FALSE,TRUE
63,2231,Ш,шарьхкоди,"V, tr",понять,1,FALSE,TRUE
64,2236,Ш,шаржу,N,шарж,1,FALSE,TRUE
65,2240,Ш,шави,"N, anim, hum",убийца; труженик,1,FALSE,TRUE
66,2275,Ш,шири,N,к,1,FALSE,FALSE
67,2306,Э,эрявксты,"V, intr",угодный; годный,1,FALSE,TRUE
68,2368,Ю,ювади,"V, tr","тот, кто кричит",1,FALSE,TRUE
